,country,year,value,category,region,directions,capitals,official_language
130,Canada,2009,542829.458896225,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
131,Canada,2008,577444.930222255,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
132,Canada,2007,596041.321973836,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
133,Canada,2006,573479.269701141,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
134,Canada,2005,579225.335719904,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
135,Canada,2004,585414.860574334,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
136,Canada,2003,587306.678537712,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
137,Canada,2002,569862.145645112,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
138,Canada,2001,564617.020300164,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
139,Canada,2000,572290.385518472,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
140,Canada,1999,550183.063388038,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
141,Canada,1998,533794.453645326,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
142,Canada,1997,525120.011175522,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
143,Canada,1996,510619.682210148,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
144,Canada,1995,497224.83692526,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
145,Canada,1994,482691.671271798,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
146,Canada,1993,467607.237235461,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
147,Canada,1992,468546.458912059,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
148,Canada,1991,454246.137946001,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
149,Canada,1990,463493.332387577,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
150,Croatia,2014,17607.3224145688,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Zagreb,Croatian
151,Croatia,2013,18359.4998410627,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Zagreb,Croatian
152,Croatia,2012,18776.3813482483,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Zagreb,Croatian
153,Croatia,2011,20614.4404738916,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Zagreb,Croatian
